wt_1,wt_2,t_1,t_2,ref,,,source
0.021,0.046,0,7,jones_1995,0.0335,0.00357142857142857,literature
0.046,0.068,0,7,jones_1995,0.057,0.00314285714285714,literature
0.046,0.068,0,7,jones_1995,0.057,0.00314285714285714,literature
0.068,0.1,0,7,jones_1995,0.084,0.00457142857142857,literature
0.1,0.15,0,7,jones_1995,0.125,0.00714285714285714,literature
0.15,0.22,0,7,jones_1995,0.185,0.01,literature
0.03,0.427,0,41,,0.2285,0.00968292682926829,literature
0.03,0.49,0,40,,0.26,0.0115,literature
0.022,0.75,0,21,naranjo,0.386,0.0346666666666667,literature
1.35,5.8,0,35,campana_torres_2006,3.575,0.127142857142857,literature
0.84,6.68,0,112,garcia_guerrero_2013,3.76,0.0521428571428571,literature
0.2,7.9,0,56,muzinic_2004,4.05,0.1375,literature
1.08,9.6,0,60,cortes_jacinto_2003,5.34,0.142,literature
1.2,11.5,0,56,muzinic_2004,6.35,0.183928571428571,literature
1.54,17.2,0,56,zhu_2013,9.37,0.279642857142857,literature
4.81,14.49,0,56,jones_2000,9.65,0.172857142857143,literature
3.1,16.2,0,56,muzinic_2004,9.65,0.233928571428571,literature
1.3,26.1,0,80,naranjo_paramo_2004,13.7,0.31,literature
1.5,34,0,90,,17.75,0.361111111111111,literature
4.08,35.98,0,84,hernandez_2003,20.03,0.379761904761905,literature
0.022,41.7,0,210,jones_1998,20.861,0.198466666666667,literature
13.78,31.66,56,106,jones_2000,22.72,0.3576,literature
0.022,47.7,0,210,jones_1998,23.861,0.227038095238095,literature
16.61,31.18,0,56,,23.895,0.260178571428571,literature
3.2,48,0,158,,25.6,0.283544303797468,literature
1.5,50,0,150,,25.75,0.323333333333333,literature
5.75,53.2,0,97,thompson_2006,29.475,0.489175257731959,literature
5.75,62.3,0,97,thompson_2006,34.025,0.582989690721649,literature
6.25,68.1,0,113,metts_2007,37.175,0.547345132743363,literature
21.4,55.5,0,129,nunez_amao_2016,38.45,0.264341085271318,literature
7,76,0,135,,41.5,0.511111111111111,literature
21.4,64.1,0,120,nunez_amao_2016,42.75,0.355833333333333,literature
31.18,56.48,56,106,jones_2000,43.83,0.506,literature
31.1,80.53,0,119,naranjo_paramo_2018,55.815,0.415378151260504,literature
44.5,103.5,0,318,naranjo_paramo_2008,74,0.185534591194969,literature
56,98.6,0,248,naranjo_paramo_2008,77.3,0.171774193548387,literature
48,126.1,0,290,naranjo_paramo_2008,87.05,0.269310344827586,literature
4.4,6.3,1,17,Elena,5.35,0.11875,Noola
6.3,6.8,17,22,Elena,6.55,0.1,Noola
6.8,10.7,22,56,Elena,8.75,0.114705882352941,Noola
10.7,13,56,86,Elena,11.85,0.0766666666666667,Noola
13,15.75,86,99,Elena,14.375,0.211538461538462,Noola
8.2,9.8,1,8,Elena,9,0.228571428571429,Noola
9.8,14.3,8,49,Elena,12.05,0.109756097560976,Noola
14.3,22,49,118,Elena,18.15,0.111594202898551,Noola
3.23,3.7,1,8,Elena,3.465,0.0671428571428571,Noola
3.7,4.9,8,21,Elena,4.3,0.0923076923076923,Noola
4.9,5.5,21,42,Elena,5.2,0.0285714285714286,Noola
5.5,6.4,42,56,Elena,5.95,0.0642857142857143,Noola
6.4,8.5,56,70,Elena,7.45,0.15,Noola
8.5,14,70,96,Elena,11.25,0.211538461538462,Noola
14,18.5,96,130,Elena,16.25,0.132352941176471,Noola
13.6,14.4,15,21,Elena,14,0.133333333333333,Noola
14.4,15.6,21,28,Elena,15,0.171428571428571,Noola
15.6,17.6,28,33,Elena,16.6,0.4,Noola
0.1,0.4,1,9,Elena,0.25,0.0375,Noola
0.4,0.8,9,22,Elena,0.6,0.0307692307692308,Noola
0.8,0.9,22,27,Elena,0.85,0.02,Noola
0.5,1.6,1,9,Elena,1.05,0.1375,Noola
1.6,2.1,9,16,Elena,1.85,0.0714285714285714,Noola
2.1,2.7,16,28,Elena,2.4,0.05,Noola
1,1.8,1,9,Elena,1.4,0.1,Noola
1.8,2.3,9,16,Elena,2.05,0.0714285714285714,Noola
2.3,3.5,16,27,Elena,2.9,0.109090909090909,Noola
2.3,3.8,1,16,Elena,3.05,0.1,Noola
