wt_1,wt_2,t_1,t_2,ref,,
0.03,0.427,0,41,,0.2285,0.00968292682926829
0.03,0.49,0,40,,0.26,0.0115
21.4,64.1,0,120,nunez_amao_2016,42.75,0.355833333333333
21.4,55.5,0,129,nunez_amao_2016,38.45,0.264341085271318
0.022,47.7,0,210,jones_1998,23.861,0.227038095238095
0.022,41.7,0,210,jones_1998,20.861,0.198466666666667
0.3,5,0,150,,2.65,0.0313333333333333
3.2,48,0,158,,25.6,0.283544303797468
1.5,50,0,150,,25.75,0.323333333333333
7,76,0,135,,41.5,0.511111111111111
1.5,34,0,90,,17.75,0.361111111111111
5.75,62.3,0,97,thompson_2006,34.025,0.582989690721649
5.75,53.2,0,97,thompson_2006,29.475,0.489175257731959
4.6,75.8,0,117,,40.2,0.608547008547009
0.84,6.68,0,112,garcia_guerrero_2013,3.76,0.0521428571428571
1.3,26.1,0,80,naranjo_paramo_2004,13.7,0.31
1.08,9.6,0,60,cortes_jacinto_2003,5.34,0.142
13.78,31.66,56,106,jones_2000,22.72,0.3576
16.61,31.18,0,56,,23.895,0.260178571428571
31.18,56.48,56,106,jones_2000,43.83,0.506
0.022,0.75,0,21,naranjo,0.386,0.0346666666666667
31.1,80.53,0,119,naranjo_paramo_2018,55.815,0.415378151260504
0.022,1,0,21,Elena,0.511,0.0465714285714286
4.81,14.49,0,56,jones_2000,9.65,0.172857142857143
44.5,103.5,0,318,naranjo_paramo_2008,74,0.185534591194969
56,98.6,0,248,naranjo_paramo_2008,77.3,0.171774193548387
48,126.1,0,290,naranjo_paramo_2008,87.05,0.269310344827586
4.08,35.98,0,84,hernandez_2003,20.03,0.379761904761905
0.2,7.9,0,56,muzinic_2004,4.05,0.1375
1.2,11.5,0,56,muzinic_2004,6.35,0.183928571428571
3.1,16.2,0,56,muzinic_2004,9.65,0.233928571428571
1.35,5.8,0,35,campana_torres_2006,3.575,0.127142857142857
0.021,0.046,0,7,jones_1995,0.0335,0.00357142857142857
0.046,0.068,0,7,jones_1995,0.057,0.00314285714285714
0.046,0.068,0,7,jones_1995,0.057,0.00314285714285714
0.068,0.1,0,7,jones_1995,0.084,0.00457142857142857
0.1,0.15,0,7,jones_1995,0.125,0.00714285714285714
0.15,0.22,0,7,jones_1995,0.185,0.01
6.25,68.1,0,113,metts_2007,37.175,0.547345132743363
1.54,17.2,0,56,zhu_2013,9.37,0.279642857142857
